y_ID,narrow_sense,bonferroni_5,perm_5,num_individuals
Y117,0.00954887200229652,2.1683507524177113e-06,1.8691355584266294e-09,71
Y527,0.04079642194078046,2.1683507524177113e-06,1.0556981216004663e-06,337
Y550,0.6182510287640607,2.1683507524177113e-06,1.5190242355619696e-06,327
Y110,0.39723794666986445,2.1683507524177113e-06,6.910499304747699e-06,87
Y557,0.6498122286143253,2.1683507524177113e-06,2.0318382142407572e-14,327
Y520,4.5397870662530495e-05,2.1683507524177113e-06,4.1912097878212205e-12,337
Y753,0.2244609352218832,2.1683507524177113e-06,1.6226943105084655e-06,149
Y724,0.01778266366407518,2.1683507524177113e-06,9.106750961289666e-15,57
Y629,0.7901469736381744,2.1683507524177113e-06,1.7667643855244538e-06,325
Y363,4.53978706625305e-05,2.168444791395611e-06,1.4063546206643024e-06,33
Y280,4.5397870662530495e-05,2.1683507524177113e-06,3.499368265039076e-06,70
Y73,4.5397870662530495e-05,2.1683507524177113e-06,1.4095473695797198e-08,27
Y369,4.5397870662530495e-05,2.168444791395611e-06,7.605236228480273e-06,33
Y387,0.007729767354490178,2.1683507524177113e-06,8.357158235130233e-07,35
Y97,0.06571971879630391,2.1683507524177113e-06,1.795752241933651e-06,26
Y79,4.5397870662530495e-05,2.1683507524177113e-06,3.7818553503988734e-07,27
Y623,0.7416959240177126,2.1683507524177113e-06,3.868659680336063e-06,327
Y565,0.8057808490055951,2.1683507524177113e-06,1.1951129127578584e-06,327
Y1308,4.5397870662530495e-05,2.168444791395611e-06,4.1001778200774984e-07,52
Y1272,4.5397870662530495e-05,2.1683507524177113e-06,2.6853210435511406e-08,42
Y122,0.19653656439878667,2.1683507524177113e-06,2.0995697659545393e-06,65
Y1278,4.5397870662530495e-05,2.1683507524177113e-06,1.8298873521445166e-06,47
Y128,0.23600901019063272,2.1683507524177113e-06,4.876456335663207e-06,94
Y581,0.632120749875577,2.1683507524177113e-06,9.049511656426791e-07,327
Y518,0.02164081464675072,2.1683507524177113e-06,5.773476453094386e-07,337
Y36,4.5397870662530495e-05,2.1683507524177113e-06,1.1868327990632667e-11,55
Y326,0.5115807417432114,2.168915108662647e-06,2.859903854572103e-06,36
Y611,0.5547664997696935,2.1683507524177113e-06,1.9649584438394494e-06,327
Y109,0.08412277507277456,2.1683507524177113e-06,1.8214594509924517e-06,88
Y539,0.17599895380640218,2.1683507524177113e-06,7.310612604424786e-07,337
Y544,0.6657390807074688,2.1683507524177113e-06,1.1749278063949715e-06,327
Y533,4.5397870662530495e-05,2.1683507524177113e-06,3.4152658065942148e-06,337
Y103,0.3499677990119522,2.1683507524177113e-06,4.8410940663366356e-08,55
Y630,0.8545006281478458,2.1683507524177113e-06,1.880498832651458e-06,327
Y277,0.18376389549339583,2.1683507524177113e-06,8.62558300353983e-07,70
Y84,0.1386320036391098,2.1683507524177113e-06,4.136112934695492e-06,55
Y370,4.5397870662530495e-05,2.1683507524177113e-06,6.229822574713178e-08,34
Y293,4.539787066253049e-05,2.1696680407897594e-06,1.1306825215513147e-06,33
Y17,4.5397870662530495e-05,2.1683507524177113e-06,1.462247939380224e-05,26
Y740,0.12043205159611665,2.1683507524177113e-06,1.385282093655095e-05,57
Y737,4.539787066253049e-05,2.1683507524177113e-06,2.8488528033844805e-06,57
Y592,0.736057555335446,2.1683507524177113e-06,4.035713402921128e-09,327
Y1311,0.2289161169577389,2.1683507524177113e-06,4.398447539727486e-06,41
Y1285,4.5397870662530495e-05,2.1683507524177113e-06,5.565413582638295e-06,42
Y131,0.2412262553986496,2.1683507524177113e-06,6.7652894053606665e-06,94
Y576,0.593011319152576,2.1683507524177113e-06,4.9595034007277065e-06,327
Y598,0.7832663121090975,2.1683507524177113e-06,5.005665381726858e-06,327
Y5,4.5397870662530495e-05,2.1683507524177113e-06,1.428787825840614e-07,27
Y602,0.8520527195552743,2.1683507524177113e-06,1.1888139498822154e-06,327
Y608,0.36344379404762356,2.1683507524177113e-06,3.775130085712657e-08,327
Y705,0.7292620469894604,2.1683507524177113e-06,7.236533419276943e-08,604
Y25,4.539787066253049e-05,2.1683507524177113e-06,2.735367850896662e-06,27
Y572,0.8366887908960412,2.1683507524177113e-06,2.4600904095774747e-06,326
Y135,0.17549841550043213,2.1683507524177113e-06,3.4303523394779725e-06,85
Y1281,0.6608542819392886,2.1683507524177113e-06,5.760480121011149e-10,42
Y1315,4.5397870662530495e-05,2.1683507524177113e-06,4.685167067089598e-06,40
Y596,0.8433469708862948,2.1683507524177113e-06,1.2609973748181359e-06,327
Y578,0.4968599879855023,2.1683507524177113e-06,1.7549204276130615e-06,327
Y21,0.47159999108437173,2.1683507524177113e-06,1.5671164237113423e-06,55
Y701,0.9004915755080728,2.1683507524177113e-06,4.329226658940999e-06,618
Y606,0.2665677356268348,2.1683507524177113e-06,1.8731749136979023e-11,327
Y107,0.080297968810384,2.1683507524177113e-06,4.576489511952048e-06,55
Y540,4.53978706625305e-05,2.1683507524177113e-06,6.23679619410327e-08,329
Y537,0.03756795967341939,2.1683507524177113e-06,4.562713784301755e-11,126
Y744,0.16228290594585287,2.1683507524177113e-06,2.5291854884598853e-06,57
Y733,0.05059098263813147,2.1683507524177113e-06,1.1410191492420255e-06,56
Y13,0.3619272601831529,2.1683507524177113e-06,1.2838882086800212e-06,27
Y64,4.5397870662530495e-05,2.1683507524177113e-06,3.195289567158433e-06,27
Y374,0.6892993848531657,2.1683507524177113e-06,2.6709932658791787e-10,34
Y279,0.3620752717969179,2.1683507524177113e-06,1.201759550142831e-08,70
