y_ID,narrow_sense,bonferroni_5,perm_5,num_individuals,num_significant_pvalues
Y1293,4.5397870662530495e-05,2.1683507524177117e-06,1.229534485379568e-09,47,0
Y1307,4.5397870662530495e-05,2.168444791395611e-06,6.969666064297508e-06,52,0
Y584,0.706816749235748,2.1683507524177117e-06,2.9886141625982585e-06,327,10
Y354,4.5397870662530495e-05,2.1683507524177117e-06,1.4132086842891456e-05,34,0
Y33,0.0565297853749725,2.1683507524177117e-06,5.893618564021481e-06,27,0
Y44,0.3798076601669485,2.1683507524177117e-06,8.904885945430189e-06,25,0
Y614,0.8557940541828734,2.1683507524177117e-06,4.503250709264966e-07,327,1
Y719,4.5397870662530495e-05,2.1683507524177117e-06,8.991512027021443e-06,57,0
Y39,0.3826321986019684,2.1683507524177117e-06,7.618754576819986e-06,29,0
Y115,0.1746430244971382,2.1683507524177117e-06,4.69336063959391e-06,92,14
Y525,4.5397870662530495e-05,2.1683507524177117e-06,3.7854222433504724e-07,337,1
Y552,0.7958196502388172,2.1683507524177117e-06,2.9333421997731524e-06,327,12
Y558,0.3489909287998261,2.1683507524177117e-06,9.509314108893326e-13,327,0
Y721,0.1455444658086672,2.1683507524177117e-06,1.6532771452273745e-06,57,0
Y76,4.5397870662530495e-05,2.1683507524177117e-06,8.238759537314753e-06,27,0
Y98,4.5397870662530495e-05,2.1683507524177117e-06,3.5593726540397875e-06,27,1
Y388,0.0598292259276751,2.1683507524177117e-06,4.3250162134848285e-06,275,3
Y285,4.539787066253049e-05,2.1683507524177117e-06,6.213119014141408e-06,70,0
Y366,4.539787066253049e-05,2.168444791395611e-06,5.853387204653369e-07,33,0
Y382,0.0131732614906711,2.1683507524177117e-06,9.835901328571988e-06,35,0
Y626,0.848793308227703,2.1683507524177117e-06,8.25177941843706e-06,327,6
Y597,0.8615750419977749,2.1683507524177117e-06,5.319414079348818e-06,327,8
Y579,0.559288111473154,2.1683507524177117e-06,8.56846177405212e-06,327,6
Y1280,0.0455226267300525,2.1683507524177117e-06,4.863829397709025e-06,47,0
Y1314,4.5397870662530495e-05,2.1683507524177117e-06,6.799824205464963e-07,41,0
Y134,0.077618410699508,2.1683507524177117e-06,2.2592155203992357e-07,95,10
Y573,0.6461911333053446,2.1683507524177117e-06,1.360801508897508e-06,327,14
Y607,0.31567733755914,2.1683507524177117e-06,9.991315900804543e-15,327,0
Y700,0.0521111715903855,2.1683507524177117e-06,1.6649405363582746e-06,458,0
Y20,4.5397870662530495e-05,2.1683507524177117e-06,3.726345979912367e-13,29,0
Y536,0.0109656288407607,2.1683507524177117e-06,6.194835147178619e-17,282,0
Y541,4.5397870662530495e-05,2.1683507524177117e-06,5.758005683374187e-14,274,0
Y106,4.5397870662530495e-05,2.1683507524177117e-06,3.0984604017582944e-08,26,0
Y738,0.0255599336551751,2.1683507524177117e-06,1.714808063849267e-06,57,0
Y635,0.6000207700455839,2.1683507524177117e-06,2.668153041877476e-06,327,1
Y81,0.0248071109853335,2.1683507524177117e-06,5.559270900524136e-06,27,0
Y272,4.5397870662530495e-05,2.1683507524177117e-06,1.5750713272635592e-06,70,0
Y391,0.2882559101268343,2.1683507524177117e-06,2.3825231922367083e-06,281,4
Y65,0.0305901086975904,2.1683507524177117e-06,2.8520051291092828e-06,27,0
Y375,4.539787066253049e-05,2.1683507524177117e-06,1.0924983816447868e-06,34,0
Y278,4.5397870662530495e-05,2.1683507524177117e-06,4.43179905076968e-06,70,0
Y732,0.0257504542713777,2.1683507524177117e-06,2.9656492701205737e-06,57,0
Y745,0.0797650287780373,2.1683507524177117e-06,9.137895743234736e-07,48,1
Y28,0.9999546021300916,2.1683507524177117e-06,0.0,27,0
Y605,0.2728742187689461,2.1683507524177117e-06,1.2342333098819393e-17,327,0
Y2,0.1103748534885875,2.1683507524177117e-06,4.243237380524261e-06,55,0
Y702,0.9093188409024416,2.1683507524177117e-06,2.263810537343297e-06,613,23
Y22,0.2021813320865821,2.1683507524177117e-06,1.452703437433814e-06,27,0
Y595,0.6797682177803515,2.1683507524177117e-06,1.1140437201270339e-10,327,1
Y1282,4.5397870662530495e-05,2.1683507524177117e-06,3.120621813256935e-09,42,0
Y1316,4.5397870662530495e-05,2.1683507524177117e-06,3.63159467454637e-07,40,0
Y1288,4.5397870662530495e-05,2.1683507524177117e-06,4.6288424111282037e-10,47,0
Y141,0.0458191640331894,2.1683507524177117e-06,1.1429430000152903e-07,71,2
Y136,0.0979687470734522,2.1683507524177117e-06,6.145130997328634e-08,71,1
Y571,0.2045147592711127,2.1683507524177117e-06,1.8715134521812768e-06,327,2
Y637,0.6400518722588452,2.1683507524177117e-06,1.7764832911282648e-06,327,1
Y270,0.0248276688223233,2.1683507524177117e-06,3.520401727590398e-06,70,0
Y83,4.539787066253049e-05,2.1683507524177117e-06,2.087904384256111e-07,55,0
Y294,0.4933740266957773,2.168538838530598e-06,7.823961652961875e-06,59,1
Y377,4.5397870662530495e-05,2.1683507524177117e-06,9.539476136625402e-07,34,0
Y89,0.0874440610582077,2.1683507524177117e-06,1.3879019140482976e-06,55,4
Y67,4.5397870662530495e-05,2.1683507524177117e-06,3.5523945531067745e-06,27,0
Y10,4.5397870662530495e-05,2.1683507524177117e-06,1.1234472007115513e-05,55,0
Y730,0.0092669948898692,2.1683507524177117e-06,4.3092970111856085e-06,56,0
Y747,0.1568169117633862,2.1683507524177117e-06,2.2074807134849232e-06,56,0
Y549,0.4966655281341075,2.1683507524177117e-06,1.820008080668975e-07,327,2
Y534,4.5397870662530495e-05,2.1683507524177117e-06,4.630618119976867e-06,336,0
Y543,0.718386281576609,2.1683507524177117e-06,1.506679162542605e-07,327,2
Y104,4.5397870662530495e-05,2.1683507524177117e-06,1.3025167820371187e-09,48,0
Y356,4.5397870662530495e-05,2.1683507524177117e-06,8.090913028674049e-06,34,0
Y616,0.857413638461864,2.1683507524177117e-06,2.304614722129515e-06,327,11
Y562,0.8216771528484456,2.1683507524177117e-06,2.2161018971232033e-08,327,0
Y125,0.3701887066981178,2.1683507524177117e-06,2.0237708230923306e-07,95,3
Y1275,4.5397870662530495e-05,2.1683507524177117e-06,8.417843474945804e-10,47,0
Y1291,4.5397870662530495e-05,2.1683507524177117e-06,9.77260394764006e-07,47,0
Y568,0.8589446049841505,2.1683507524177117e-06,8.255351245508588e-06,327,7
Y586,0.783983468679897,2.1683507524177117e-06,4.784706956254105e-06,327,9
Y723,4.53978706625305e-05,2.1683507524177117e-06,2.59350218077668e-13,57,0
Y269,0.0598778323983745,2.1683507524177117e-06,4.344060357360218e-06,70,0
Y287,4.53978706625305e-05,2.1683507524177117e-06,6.75900355019416e-06,70,0
Y364,4.5397870662530495e-05,2.168444791395611e-06,1.3635950424584354e-07,33,0
Y74,0.2735893148610323,2.1683507524177117e-06,7.247318535479092e-06,25,0
Y380,0.1123140836493686,2.1683507524177117e-06,7.542445697596769e-06,35,0
Y90,0.2795594036346679,2.1683507524177117e-06,9.559531372366838e-06,25,0
Y624,0.8173588712091394,2.1683507524177117e-06,5.378110961787886e-06,327,6
Y729,4.5397870662530495e-05,2.1683507524177117e-06,5.27238616725857e-07,57,0
Y117,0.0095488720022965,2.1683507524177117e-06,1.869135558426629e-09,71,0
Y527,0.0407964219407804,2.1683507524177117e-06,1.0556981216004665e-06,337,0
Y550,0.6182510287640607,2.1683507524177117e-06,1.5190242355619696e-06,327,6
Y110,0.3972379466698644,2.1683507524177117e-06,6.910499304747699e-06,87,3
Y557,0.6498122286143253,2.1683507524177117e-06,2.031838214240757e-14,327,0
Y520,4.5397870662530495e-05,2.1683507524177117e-06,4.191209787821221e-12,337,0
